firstName,lastName,dateOfBirth,number,position,nationality
Troy,Brown Jr.,28/07/1999,10,SF,American
Devon,Dotson,2/08/1999,1,PG,American
Lauri,Markkanen,22/05/1997,24,PF,Finnish
Patrick,Williams,26/08/2001,9,SF,American
Daniel,Theis,4/04/1992,27,C,German
Javonte,Green,23/07/1993,43,SG,American
Coby,White,16/02/2000,0,PG,American
Troy,Brown Jr.,28/07/1999,10,SF,American
Zach,LaVine,10/03/1995,8,SG,American
Alize,Johnson,22/04/1996,24,PF,American
Tony,Bradley,8/01/1998,13,C,American
Alex,Caruso,28/02/1994,6,PG,American
Ayo,Dosunmu,17/04/2000,11,PG,American
DeMar,DeRozan,7/08/1989,11,SG,American
Stanley,Johnson,29/05/1996,5,SF,American
