firstName,lastName,dateOfBirth,number,position,nationality
LeBron,James,30/12/1984,23,SF,American
Russell,Westbrook,12/11/1988,0,PG,American
Anthony,Davis,11/03/1993,3,PF,American
DeAndre,Jordan,21/07/1988,6,C,American
Dwight,Howard,08/12/1985,39,C,American
Malik,Monk,04/02/1998,15,SG,American
Kent,Bazemore,01/07/1989,18,SF,American
Avery,Bradley,26/11/1990,11,PG,American
Talen,Horton-Tucker,25/11/2000,5,SG,American
Wayne,Ellington,29/11/1987,2,SG,American
Carmelo,Anthony,29/05/1984,7,PF,American
Trevor,Ariza,30/06/1985,3,SF,American
Marc,Gasol,29/01/1985,14,C,Spanish
Austin,Reaves,29/05/1998,32,SG,American
