firstName,lastName,dateOfBirth,number,position,nationality
Bam,Adebayo,18/07/1997,13,C,American
Jimmy,Butler,14/09/1989,22,SF,American
Goran,Dragić,06/05/1986,7,PG,Slovenian
Udonis,Haslem,09/06/1980,40,PF,American
Tyler,Herro,20/01/2000,14,SG,American
KZ,Okpala,28/04/1999,4,SF,American
Victor,Oladipo,04/05/1992,4,SG,American
Dewayne,Dedmon,12/08/1989,21,C,American
Max,Strus,28/03/1996,31,SG,American
Gabe,Vincent,14/06/1996,2,PG,American
Omer,Yurtseven,05/06/1998,77,C,Turkish
Duncan,Robinson,22/04/1994,55,SF,American
Kyle,Lowry,25/03/1986,7,PG,American
Markieff,Morris,02/09/1989,8,PF,American
