firstName,lastName,dateOfBirth,number,position,nationality
Bojan,Bogdanović,18/04/1989,44,SF,Croatian
Jarrell,Brantley,13/06/1996,5,PF, American
Trent,Forrest,16/05/1998,3,PG, American
Rudy,Gobert,26/06/1992,27,C,French
Ersan,İlyasova,15/05/1987,88,PF,Turkish
Joe,Ingles,2/10/1987,2,SF,Australian
Donovan,Mitchell,7/09/1996,45,SG,American
Juwan,Morgan,17/04/1997,16,SF, American
Miye,Oni,1/08/1997,81,SG, Nigerian
Royce,"O'Neale",5/06/1993,23,SF,American
Bojan,Podbeľčanin,9/04/1994,10,PF,Serbian
Mike,Conley,11/10/1987,10,PG,American
Jordan,Clarkson,7/06/1992,00,SG,Filipino-American
