firstName,lastName,dateOfBirth,number,position,nationality
Marc-André,ter Stegen,30/04/1992,1,GK,German
Gerard,Piqué,02/02/1987,3,DF,Spanish
Sergi,Roberto,07/02/1992,20,DF,Spanish
Sergio,Busquets,16/07/1988,5,MF,Spanish
Antoine,Griezmann,21/03/1991,7,FW,French
Miralem,Pjanić,02/04/1990,8,MF,Bosnian
Ousmane,Dembélé,15/05/1997,11,FW,French
Martin,Braithwaite,05/06/1991,9,FW,Danish
Frenkie de Jong,12/05/1997,21,MF,Dutch
Jordi,Alba,21/03/1989,18,DF,Spanish
Matheus,Fernandes,30/06/1998,26,MF,Brazilian
Pedri,11/11/2002,16,MF,Spanish
Ronald,Araújo,07/03/1999,4,DF,Uruguayan
Clément,Lenglet,17/06/1995,15,DF,French
Philippe,Coutinho,12/06/1992,14,MF,Brazilian
Ansu,Fati,31/10/2002,22,FW,Spanish
Riqui Puig,13/08/1999,12,MF,Spanish
Iñaki,Peña,02/03/1999,26,GK,Spanish
Neto,19/07/1989,13,GK,Brazilian
Emerson,14/01/1999,22,DF,Brazilian
Sergiño,Dest,03/11/2000,2,DF,American
Oscar,Mingueza,13/05/1999,28,DF,Spanish
