firstName,lastName,dateOfBirth,number,position,nationality
Manuel,Neuer,27/03/1986,1,GK,German
Sven,Ulreich,03/08/1988,26,GK,German
Ron-Thorben,Hoffmann,04/04/1999,39,GK,German
Niklas,Süle,03/09/1995,4,DF,German
Dayot,Upamecano,27/10/1998,2,DF,French
Benjamin,Pavard,28/03/1996,5,DF,French
Bouna,Sarr,31/01/1992,20,DF,French
Lucas,Hernandez,14/02/1996,21,DF,French
Alphonso,Davies,02/11/2000,19,DF,Canadian
Josip,Stanisic,15/01/2000,13,DF,Croatian
Tanguy,Nianzou,07/05/2002,23,DF,French
Chris,Richards,28/03/2000,33,DF,American
David,Alaba,24/06/1992,27,DF,Austrian
Leroy,Sane,11/01/1996,10,FW,German
Kingsley,Coman,13/06/1996,29,FW,French
Serge,Gnabry,14/07/1995,7,FW,German
Eric,Maxim,Choupo-Moting,23/03/1989,13,FW,Cameroonian
Robert,Lewandowski,21/08/1988,9,FW,Polish
Thomas,Muller,13/09/1989,25,MF,German
Marc,Roca,26/11/1996,22,MF,Spanish
Leon,Goretzka,06/02/1995,18,MF,German
Corentin,Tolisso,03/08/1994,24,MF,French
Jamal,Musiala,26/02/2003,42,MF,German
