firstName,lastName,dateOfBirth,number,position,nationality
David,De Gea,07/11/1990,1,GK,Spanish
Tom,Heaton,15/04/1986,22,GK,English
Lee,Grant,27/01/1983,13,GK,English
Aaron,Wan-Bissaka,26/11/1997,29,DF,English
Victor,Lindelöf,17/07/1994,2,DF,Swedish
Eric,Bailly,12/04/1994,3,DF,Ivorian
Phil,Jones,21/02/1992,4,DF,English
Harry,Maguire,05/03/1993,5,DF,English
Luke,Shaw,12/07/1995,23,DF,English
Diogo,Dalot,18/03/1999,20,DF,Portuguese
Alex,Telles,15/12/1992,27,DF,Brazilian
Raphael,Varane,25/04/1993,19,DF,French
Nemanja,Matic,01/08/1988,31,MF,Serbian
Fred,05/03/1993,17,MF,Brazilian
Scott,McTominay,08/12/1996,39,MF,Scottish
Donny,van de Beek,18/04/1997,34,MF,Dutch
Jesse,Lingard,15/12/1992,14,MF,English
Paul,Pogba,15/03/1993,6,MF,French
Bruno,Fernandes,08/09/1994,18,MF,Portuguese
Amad,Diallo,11/07/2002,19,MF,Ivorian
Marcus,Rashford,31/10/1997,10,FW,English
Anthony,Martial,05/12/1995,9,FW,French
Mason,Greenwood,01/10/2001,11,FW,English
Edinson,Cavani,14/02/1987,7,FW,Uruguayan
