firstName,lastName,dateOfBirth,number,position,nationality
Gianluigi,Donnarumma,25/02/1999,99,GK,Italian
Ciprian,Tatarusanu,09/02/1986,1,GK,Romanian
Alessio,Romagnoli,12/01/1995,13,DF,Italian
Fikayo,Tomori,19/12/1997,23,DF,English
Simon,Kjaer,26/03/1989,24,DF,Danish
Davide,Calabria,06/12/1996,2,DF,Italian
Theo,Hernandez,06/10/1997,19,DF,French
Diogo,Dalot,18/03/1999,5,DF,Portuguese
Pierre,Kalulu,05/06/2000,46,DF,French
Frank,Kessie,19/12/1996,79,MF,Ivorian
Ismael,Bennacer,01/12/1997,4,MF,Algerian
Sandro,Tonali,08/05/2000,8,MF,Italian
Rade,Krunic,07/10/1993,33,MF,Serbian
Soualiho,Meite,17/03/1994,18,MF,French
Brahim,Diaz,03/08/1999,10,MF,Spanish
Ante,Rebic,21/09/1993,12,FW,Croatian
Zlatan,Ibrahimovic,03/10/1981,11,FW,Swedish
Rafael,Leao,10/06/1999,17,FW,Portuguese
Samu,Castillejo,18/01/1995,7,FW,Spanish
Mario,Mandzukic,21/05/1986,9,FW,Croatian
Alexis,Saelemaekers,27/06/1999,56,FW,Belgian
