x,y,made,missed
-240,78,0,1
-239,-30,1,0
-238,-10,0,1
-235,19,1,0
-235,88,0,1
-234,52,1,0
-233,-15,1,0
-233,10,0,1
-233,57,1,1
-232,-19,0,1
-232,-9,0,1
-231,-22,0,1
-230,9,1,0
-230,41,0,1
-230,42,0,1
-228,-11,0,1
-228,-7,1,0
-228,13,1,0
-228,94,1,0
-227,-16,0,1
-227,-10,1,0
-227,4,0,1
-227,47,0,1
-227,68,1,0
-225,-4,1,0
-225,0,0,1
-225,103,1,0
-225,121,0,1
-225,135,0,1
-223,17,0,1
-223,24,0,1
-222,32,1,0
-220,121,0,1
-219,120,1,0
-216,113,1,0
-212,165,0,1
-211,7,1,0
-208,157,0,1
-207,163,0,1
-202,131,0,1
-201,143,0,1
-200,167,0,1
-200,178,0,1
-199,155,0,1
-196,170,0,1
-196,224,0,1
-196,245,0,1
-195,9,0,1
-194,-9,1,0
-193,65,1,0
-192,160,1,0
-191,160,0,1
-190,35,1,0
-189,40,0,1
-189,165,0,1
-188,183,1,0
-188,185,0,1
-187,30,0,1
-187,126,0,1
-187,178,0,1
-185,193,0,1
-184,163,1,0
-184,166,0,1
-184,252,0,1
-183,68,0,1
-183,170,0,1
-183,175,1,0
-182,0,0,1
-180,110,0,1
-180,204,1,0
-178,203,0,1
-176,-3,0,1
-176,17,0,1
-175,131,0,1
-175,180,0,1
-173,203,1,0
-173,235,0,1
-171,230,0,1
-170,180,1,0
-170,189,0,1
-169,177,0,1
-169,222,0,1
-168,190,1,0
-167,220,1,0
-166,204,0,1
-165,15,1,0
-165,63,1,0
-165,198,1,0
-164,188,0,1
-163,183,1,0
-163,185,0,1
-163,186,1,0
-163,206,1,0
-163,209,0,1
-162,21,1,0
-161,226,0,1
-160,146,1,0
-160,187,1,0
-160,199,0,1
-160,206,0,1
-158,-8,0,1
-158,205,1,0
-158,231,1,0
-157,182,0,1
-155,218,0,1
-155,222,1,0
-153,196,0,1
-153,247,0,1
-152,30,0,1
-152,60,1,0
-152,205,1,0
-152,208,1,0
-152,237,0,1
-151,160,1,0
-151,167,0,1
-151,219,0,1
-151,229,0,1
-151,283,1,0
-150,208,0,1
-150,209,0,2
-150,214,0,1
-150,242,1,0
-146,-2,0,1
-146,142,1,0
-146,222,0,1
-145,-1,1,0
-145,191,1,0
-145,199,0,1
-144,-29,1,0
-144,211,1,0
-144,216,1,0
-143,218,1,0
-143,220,0,1
-143,236,0,1
-142,8,0,1
-142,115,0,1
-142,209,0,1
-141,204,0,1
-140,220,1,0
-140,232,0,1
-140,242,1,0
-139,-4,0,1
-139,48,0,1
-139,57,0,1
-139,109,0,1
-139,262,1,0
-138,154,0,1
-136,80,0,1
-136,272,0,1
-135,94,1,0
