firstName,lastName,dateOfBirth,number,position,nationality
Miles,Bridges,21/03/1998,0,SF,American
LaMelo,Ball,22/08/2001,2,PG,American
Vernon,Carey Jr.,25/02/2001,22,C,American
Cody,Martin,28/09/1995,11,SF,American
Jalen,McDaniels,31/01/1998,6,PF,American
Terry,Rozier,17/03/1994,3,PG,American
Ish,Smith,5/07/1988,7,PG,American
Gordon,Hayward,23/03/1990,20,SF,American
Kai,Jones,22/01/2001,8,PF,Bahamian
Kelly,Oubre Jr.,09/12/1995,12,SF,American
Mason,Plumlee,05/03/1990,41,C,American
J.T.,Thor,26/09/2002,33,PF,American
Terry,Taylor,22/02/1994,13,SG,American
James,Booknight,18/09/2001,11,SG,American
Scottie,Lewis,14/03/2001,32,SG,American
