x,y
44,53
44,53
30,73
25,80
13,71
9,82
48,56
28,71
21,82
21,77
19,69
21,84
53,59
47,66
54,51
61,66
54,58
28,72
28,72
48,68
34,51
7,87
10,64
7,74
33,63
56,50
62,54
57,70
8,85
11,75
13,81
6,94
33,66
37,68
53,62
46,58
28,65
53,71
32,66
42,65
52,62
7,48
6,47
36,65
90,49
93,49
58,58
55,52
51,60
29,80
19,79
22,69
20,64
10,41
7,75
39,55
21,74
57,63
64,60
90,51
90,50
24,72
11,85
41,70
35,93
34,97
37,62
45,70
45,59
37,37
39,40
44,69
44,67
43,34
29,41
9,61
8,63
21,64
21,65
57,51
53,62
8,56
20,71
52,62
41,68
20,89
20,89
17,52
24,56
33,91
44,64
22,68
26,72
62,40
33,47
47,50
50,72
24,82
19,90
3,46
38,70
18,73
56,73
57,78
38,41
