firstName,lastName,dateOfBirth,number,position,nationality
Kepa,Arrizabalaga,03/10/1994,1,GK,Spanish
Edouard,Mendy,01/03/1992,16,GK,Senegalese
Marcus,Bettinelli,24/05/1992,13,GK,English
Thiago,Silva,22/09/1984,6,DF,Brazilian
Antonio,Rüdiger,03/03/1993,2,DF,German
Andreas,Christensen,10/04/1996,4,DF,Danish
Kurt,Zouma,27/10/1994,15,DF,French
Ben,Chilwell,21/12/1996,21,DF,English
Reece,James,08/12/1999,24,DF,English
César,Azpilicueta,28/08/1989,28,DF,Spanish
Emerson,26/08/1994,33,DF,Italian
Jorginho,20/12/1991,5,MF,Italian
"N'Golo",Kanté,29/03/1991,7,MF,French
Mateo,Kovačić,06/05/1994,17,MF,Croatian
Ruben,Loftus-Cheek,23/01/1996,12,MF,English
Ross,Barkley,05/12/1993,8,MF,English
Mason,Mount,10/01/1999,19,MF,English
Hakim,Ziyech,19/03/1993,22,MF,Moroccan
Callum,Hudson-Odoi,07/11/2000,20,FW,English
Timo,Werner,06/03/1996,11,FW,German
Christian,Pulisic,18/09/1998,10,FW,American
Olivier,Giroud,30/09/1986,18,FW,French
Kai,Havertz,11/06/1999,29,FW,German
