firstName,lastName,dateOfBirth,number,position,nationality
Keylor,Navas,15/12/1986,1,GK,Costa Rican
Sergio,Rico,01/09/1993,16,GK,Spanish
Gianluigi,Donnarumma,25/02/1999,50,GK,Italian
Achraf,Hakimi,04/11/1998,2,DF,Moroccan
Marquinhos,Barbosa,14/05/1994,5,DF,Brazilian
Thilo,Kehrer,21/09/1996,4,DF,German
Presnel,Kimpembe,13/08/1995,3,DF,French
Abdou,Diallo,04/05/1996,22,DF,French
Juan,Bernat,01/03/1993,14,DF,Spanish
Nuno,Mendes,19/06/2002,24,DF,Portuguese
Colin,Dagba,09/09/1998,17,DF,French
Idrissa,Gueye,26/09/1989,27,MF,Senegalese
Marco,Verratti,05/11/1992,6,MF,Italian
Leandro,Paredes,29/06/1994,8,MF,Argentine
Georginio,Wijnaldum,11/11/1990,18,MF,Dutch
Danilo,Pereira,09/09/1991,15,MF,Portuguese
Pablo,Sarabia,11/05/1992,19,MF,Spanish
Ander,Herrera,14/08/1989,21,MF,Spanish
Kylian,Mbappe,20/12/1998,7,FW,French
Lionel,Messi,24/06/1987,30,FW,Argentine
Neymar,da Silva,05/02/1992,10,FW,Brazilian
Mauro,Icardi,19/02/1993,9,FW,Argentine
Angel,Di Maria,14/02/1988,11,FW,Argentine
